title	url	tags
"""Постоянная интрига"": Любовь Успенская высоко оценила шоу ""Дуэты"""	https://www.vesti.ru/television/article/3689628	шоу-бизнес,Любовь Успенская ,общество,новости,певица,новости/шоу
"Продолжаются съемки фильма ""Роднина"" по мотивам книги ""Слеза чемпионки"""	https://www.vesti.ru/television/article/3689767	фильм,съемки,кино,фигурное катание,Ирина Роднина,общество,новости,новости/кино
"Форвард ""Вашингтона"" Кузнецов: хотелось бы поиграть за ""Трактор"" в конце карьеры"	https://www.vesti.ru/article/3689736	спорт,хоккей,КХЛ,НХЛ / NHL,новости,Трактор хоккей,Вашингтон Кэпиталз хоккей
Макрон пригласил Орбана в Париж, чтобы обсудить членство Украины в ЕС	https://www.vesti.ru/article/3689712	политика,Франция,Украина,Венгрия,ЕС/Евросоюз,Эммануэль Макрон,общество,новости,Виктор Орбан,события дня
Алле Пугачевой стало плохо в магазине	https://www.vesti.ru/article/3689702	здоровье,Алла Пугачева,Кипр,общество,новости
Песков: Россия готова к переговорам с Украиной	https://www.vesti.ru/article/3689641	политика,Кремль,Украина,спецоперация,переговоры,Дмитрий Песков,общество,Россия,новости
Россия и Иран подписали соглашение о противодействии санкциям	https://www.vesti.ru/article/3689693	политика,дипломатия,Сергей Лавров,Иран,санкции,общество,Россия,новости,события дня
Катя Лель развелась с мужем после 15 лет брака	https://www.vesti.ru/television/article/3689513	шоу-бизнес,развод,Катя Лель,личная жизнь,общество,новости,новости/шоу
Константин Тюкавин назван лучшим молодым футболистом России	https://www.vesti.ru/article/3689599	спорт,футбол,футболист,голосование,новости,чемпионат России футбол,Динамо Москва футбол
"""Конец пути"": Saxo Bank опубликовал 10 шокирующих предсказаний"	https://www.vesti.ru/article/3689384	политика,нефть,пророчество/предсказание,банк,прогноз,Дания,Саудовская Аравия,искусственный интеллект, США/Америка,новости,экономика
